DateTime,AddedIPs,RemovedIPs
1594607677,2,1
1594610557,1,0
1594624411,2,0
1594630232,0,3
1594631500,0,2
1594633826,1,3
1594635919,1,0
1594641882,2,0
1594643674,8,1
1594645142,1,0
1594649608,2,0
1594653757,9,0
1594654474,1,0
1594657372,1,1
1594659554,1,0
1594661669,1,1
1594670546,0,1
1594673433,2,0
1594676065,1,0
1594679673,1,0
1594686875,1,0
1594697137,3,1
1594697672,3,0
1594699180,0,1
1594702242,0,2
1594703760,0,5
1594704869,1,4
1594707771,1,4
1594710233,0,1
1594712074,0,2
1594722873,1,0
1594727436,1,1
1594729149,0,1
1594730074,0,1
1594733681,0,1
1594739835,1,0
1594742357,1,0
1594754732,2,0
1594758874,1,1
1594769135,0,3
1594776327,2,0
1594777654,0,1
1594780472,0,1
1594782271,0,2
1594787678,0,5
1594793061,0,1
1594794272,0,1
1594795839,1,0
1594796991,1,0
1594800647,1,1
1594804692,0,1
1594807461,0,1
1594810983,1,0
1594813431,0,1
1594815019,0,2
1594816989,0,1
1594820072,1,0
1594821603,1,1
1594823670,2,0
1594827272,0,1
1594831832,0,1
1594834474,0,3
1594837393,2,0
1594839286,0,1
1594841670,0,1
1594844602,1,0
1594847788,2,0
1594848873,1,0
1594856073,1,0
1594858323,2,1
1594863274,2,0
1594866333,1,1
1594867840,0,2
1594874074,4,1
1594875941,1,0
1594879539,0,1
1594885693,2,0
1594892079,0,3
1594896799,1,0
1594898193,1,0
1594901870,1,2
1594905937,0,1
1594906476,0,1
1594907935,6,3
1594909256,1,0
1594911434,1,0
1594913131,0,1
1594913671,0,1
1594915715,1,1
1594917617,3,0
1594920132,1,0
1594922635,0,1
1594926920,0,1
1594928069,0,1
1594932634,1,0
1594935271,1,0
1594936480,1,0
1594946078,0,1
1594949679,1,0
1594956086,1,0
1594957841,2,0
1594964076,0,1
1594965547,1,0
1594977777,1,0
1594978474,0,1
1594980083,0,1
1594982077,1,0
1594984722,1,0
1594985681,0,1
1594987371,1,0
1594989273,0,1
1594991238,0,2
1594992334,1,0
1594994688,0,1
1594999022,0,1
1595000070,1,0
1595001815,1,0
1595004413,1,0
1595006304,1,0
1595009086,0,1
1595014471,1,0
1595018078,0,1
1595019953,0,1
1595023617,2,1
1595028872,0,1
1595030866,1,1
1595035313,1,1
1595038111,1,0
1595039675,1,1
1595042738,0,1
1595043276,0,1
1595045360,1,0
1595052598,1,0
1595054069,1,1
1595057669,2,2
1595061269,0,2
1595065833,0,1
1595067782,0,1
1595068474,0,2
1595069671,1,0
1595071529,0,1
1595072068,1,0
1595073197,0,1
1595077712,1,2
1595080497,0,4
1595082333,0,6
1595083646,0,4
1595084883,0,3
1595087431,0,13
1595088792,0,7
1595090071,0,3
1595093670,1,1
1595098399,1,0
1595101831,0,1
1595103279,0,1
1595104474,1,1
1595109034,3,0
1595114428,1,0
1595117597,1,0
1595125024,2,1
1595126075,0,3
1595128432,1,0
1595129674,2,0
1595132266,1,0
1595134426,1,0
1595136207,1,0
1595136872,1,0
1595139507,11,2
1595140953,8,5
1595143224,4,0
1595150053,0,1
1595151266,0,3
1595157929,1,0
1595161233,1,0
1595165132,1,0
1595166632,1,2
1595168475,3,0
1595169274,5,0
1595171480,12,0
1595172877,4,0
1595178213,1,1
1595179399,1,0
1595180761,2,0
1595182953,1,0
1595183670,1,0
1595185370,1,0
1595191834,3,0
1595192933,2,0
1595201671,0,1
1595205282,1,0
1595208876,0,1
1595212475,0,1
1595214612,0,2
1595217044,1,0
1595218228,1,0
1595225804,1,0
1595226873,0,1
1595229234,1,0
1595230481,1,0
1595234073,1,0
1595236178,1,0
1595238636,1,0
1595241270,1,0
1595247932,1,0
1595252271,0,1
1595254804,1,0
1595259276,1,0
1595262873,1,0
1595266469,1,0
1595273669,1,1
1595277275,0,1
1595279824,1,0
1595282353,1,0
1595283943,1,0
1595284478,0,1
1595289038,0,1
1595296666,0,1
1595298876,0,1
1595300966,0,2
1595306864,0,3
1595308047,0,5
1595310526,0,16
1595312179,0,6
1595313272,0,1
1595315243,1,2
1595320474,2,1
1595324076,1,2
1595327678,1,1
1595330147,0,1
1595332022,0,1
1595335841,0,2
1595338471,0,2
1595340859,0,1
1595344540,1,0
1595349273,1,0
1595359229,1,0
1595361730,0,1
1595363675,1,1
1595374472,1,1
1595378072,0,2
1595382635,0,3
1595385275,0,3
1595388330,0,6
1595389831,2,3
1595391939,0,1
1595393436,1,0
1595395363,2,1
1595397033,1,0
1595400634,1,1
1595402539,1,1
1595403272,1,0
1595406331,2,1
1595410473,0,1
1595413042,1,1
1595414071,1,1
1595416481,1,2
1595420737,1,0
1595422234,1,0
1595435135,0,1
1595436630,0,2
1595442332,1,1
1595442871,0,1
1595445578,1,0
1595452612,0,1
1595457268,0,1
1595461836,0,1
1595464471,0,1
1595465824,1,0
1595471134,0,1
1595471671,0,2
1595475275,1,1
1595478345,8,1
1595486067,0,6
1595487414,0,2
1595490269,0,1
1595493271,2,2
1595499206,0,3
1595501942,1,2
1595506899,2,0
1595507695,4,0
1595509172,10,0
1595510383,1,0
1595512071,7,0
1595513914,5,0
1595514873,6,1
1595516093,1,1
1595517577,1,0
1595518469,0,1
1595522073,1,0
1595525129,2,0
1595529766,1,0
1595532327,1,0
1595537976,1,0
1595540067,0,2
1595543667,1,1
1595546735,0,1
1595551831,0,1
1595553931,1,1
1595558074,0,2
1595560233,0,1
1595565273,2,1
1595571210,0,1
1595572472,1,1
1595574653,1,2
1595575888,0,3
1595577746,0,1
1595583267,1,2
1595590474,1,0
1595599356,0,2
1595601272,2,0
1595603749,1,0
1595604872,2,0
1595612918,1,1
1595615739,1,1
1595619274,2,0
1595625195,1,0
1595630072,1,0
1595637838,2,0
1595640332,1,0
1595645603,0,1
